question_id,question,category
waLuRlX624,How would you answer this job interview question: Why shouldn't I hire you?,interview
wURERY6D24,What are the top 10 most popular dynamic programming problems among interviewers?,interview
wjNDMkMA25,"In an interview I was asked ""you are from engineering background, why do you want to join marketing or sales?"" How could I answer this question?",interview
wzoiIf4h33,What are the best answers for the question ''what is your goal in life'' during interviews?,interview
wDniqSCs25,What is the best answer to “Why do you want to join this company”?,interview
wXsijVak24,What are some good blogs for quant and interview preparations for campus placements in IITs?,interview
wfEHHGOf33,What type of questions are asked in UPSC exams?,interview
wRioNh6M24,"What is the answer of ""If I reject you in this interview then what will you do""?",interview
wlSDhp1l32,How do I crack a placement interview?,interview
wdZz5qZV25,How do I draft a mail to HR asking for the interview status?,interview
w8rw729J25,How do I ask the HR person by mail whether I am selected or not after a few days of interview?,interview
wdz68fQu25,What are some MBA finance fresher interview questions and answers?,interview
wQrY9yuV24,"How was your FMS, Delhi interview experience?",experience
wWUQoZWI24,What questions are asked in an NDA SSB interview?,interview
wnBdgvQc24,"What should be ideal answer to the question, ""Tell me about yourself""?",interview
wSWnibg525,"What is the best answer for ""Why do you want to work for us?"" when asked in an interview?",interview
wHQabaD424,How can one justify a low CGPA during an interview?,interview
wpl8bydA25,How should I prepare for a TCS interview?,interview
wiPzjst224,What answer do civil service aspirants give when asked in an interview why they want to become an IAS officer?,interview
w7taEmFz24,"How was your FMS, Delhi interview experience?",experience
wqzNvoi124,What is the secret of people who always get job offers?,interview
wKj6ZgP632,What has your manager asked you to do that you outright refused to do?,interview
wPz6f6c324,What is the best interview question you have ever used or heard?,interview
wTnJhrJ525,How do I ask the HR person by mail whether I am selected or not after a few days of interview?,interview
wCPj5NVK25,How do I draft a mail to HR asking for the interview status?,interview
wHXtH3E824,What is the best way to learn algorithms? I want to prepare for a Google interview and I am willing to spend all of my free time learning.,interview
wuYZcA0D32,"What should be ideal answer to the question, ""Tell me about yourself""?",interview
wltYrZI625,How much time does IBM take to release the offer letter once the candidate clears the PDM (final) round?,interview
wMdY4aZt32,What should I expect in a Software Engineer interview at Google and how should I prepare?,interview
whKd21dU24,"How do I prepare for an interview with one of the Big 4? (KPMG, EY, PWC, Deloitte)",interview
wzaTYSmt32,"Is practicing 500 programming questions on LeetCode, HackerEarth, etc, enough to prepare for a Google interview?",interview
w3X4VYTH32,"How did you crack the software engineering interview at Google, Facebook, or Amazon?",interview
wBKhBhz832,"In a job interview, what's the best answer for this question ""What's your edge over the other applicants?""",interview
wZuvtBvU24,How was your IES/ESE 2016 interview experience?,experience
wXgPIOcY24,How was your ONGC interview experience?,experience
wpcxmQrF32,What is the strangest job interview you have ever experienced?,interview
wxlpTD0O24,How was your interview experience for NPCIL and BARC?,experience
wADe5IFK24,"What are the best free, online resources and processes to prepare for case study interviews for a top management consulting firm?",interview
wrcg6REr24,What are some interview questions on linked lists?,interview
wei7jU9l25,"How do I, as a fresher, answer, “Why should I hire you?” by the interviewer?",interview
wUylKg9L24,"During an interview, a friend was asked to create a memory leak with Java. He has no idea how to accomplish this. What would an example be?",interview
wSb8WRF324,What was your most arrogant software engineering interview candidate experience?,interview
wKEehzR724,How can I get hired by Quora? How can I get an interview?,interview
w5Vhr8UK24,How can I prepare for a tough coding interview in one week?,interview
w3Pi7wvv24,"What are the best ways to prepare for interviews with top-tier management consulting firms (i.e., McKinsey, Bain, BCG)?",interview
