id,link,que,follow,ans_count
w7LSjJ5M24,https://www.quora.com/Whats-the-best-way-to-get-a-part-time-programming-job,What's the best way to get a part-time programming job?,849200,14
wnKif9VU40,https://www.quora.com/How-should-I-prepare-for-my-first-interview,How should I prepare for my first interview?,460700,527
w5CMZJZu24,https://www.quora.com/What-are-some-good-blogs-for-quant-and-interview-preparations-for-campus-placements-in-IITs,What are some good blogs for quant and interview preparations for campus placements in IITs?,460700,15
wzZoyjmJ33,https://www.quora.com/What-is-the-best-answer-for-an-interview-question-if-someone-asked-what-are-your-salary-requirements,"What is the best answer for an interview question if someone asked, ""what are your salary requirements?""",23000,16
wVTWlDPY25,https://www.quora.com/What-is-the-exact-difference-between-group-discussion-and-debate,What is the exact difference between group discussion and debate?,21700,21
wia9EBLE24,https://www.quora.com/What-are-the-best-interview-questions-that-are-tricky-and-require-presence-of-mind-to-answer-them,What are the best interview questions that are tricky and require presence of mind to answer them?,4400,541
wWaQ798M24,https://www.quora.com/What-are-the-best-interview-questions-that-are-tricky-and-require-presence-of-mind-to-answer-them,What are the best interview questions that are tricky and require presence of mind to answer them?,4400,541
wHVfzLdC24,https://www.quora.com/What-are-the-best-interview-questions-that-are-tricky-and-require-presence-of-mind-to-answer-them,What are the best interview questions that are tricky and require presence of mind to answer them?,4400,541
wtgAX0GK32,https://www.quora.com/What-are-the-best-interview-questions-that-are-tricky-and-require-presence-of-mind-to-answer-them,What are the best interview questions that are tricky and require presence of mind to answer them?,4400,541
wkc1Tz9n24,https://www.quora.com/What-are-the-best-interview-questions-that-are-tricky-and-require-presence-of-mind-to-answer-them,What are the best interview questions that are tricky and require presence of mind to answer them?,4400,541
wH9Nc17m24,https://www.quora.com/What-are-the-best-interview-questions-that-are-tricky-and-require-presence-of-mind-to-answer-them,What are the best interview questions that are tricky and require presence of mind to answer them?,4400,541
wkxCDqrf32,https://www.quora.com/What-are-the-best-interview-questions-that-are-tricky-and-require-presence-of-mind-to-answer-them,What are the best interview questions that are tricky and require presence of mind to answer them?,4400,541
wt3dKykq24,https://www.quora.com/What-are-the-best-interview-questions-that-are-tricky-and-require-presence-of-mind-to-answer-them,What are the best interview questions that are tricky and require presence of mind to answer them?,4400,541
