id,link,que,ans_count,follow
wTXonSva231,https://www.quora.com/Im-about-to-quit-my-job-to-learn-to-program-What-should-I-do,I'm about to quit my job to learn to program. What should I do?,131,1000
wbICyVsH241,https://www.quora.com/Whats-the-most-pretentious-thing-youve-ever-seen-on-a-r%C3%A9sum%C3%A9,What's the most pretentious thing you've ever seen on a résumé?,218,420
wFn9THPP251,https://www.quora.com/I-am-a-good-programmer-but-I-have-a-hard-time-cracking-interviews-Is-this-common-or-am-I-missing-something-Are-there-any-books-that-can-help-me-out,I am a good programmer but I have a hard time cracking interviews. Is this common or am I missing something? Are there any books that can help me out?,16,192
w9CZd7vK254,https://www.quora.com/What-are-some-good-interview-questions-tasks-to-test-for-attention-to-detail-if-I%E2%80%99m-interviewing-people-for-data-entry-positions-that-require-a-very-high-level-of-accuracy,What are some good interview questions / tasks to test for attention to detail if I’m interviewing people for data entry positions that require a very high level of accuracy.,14,160
wFn9THPP245,https://www.quora.com/What-are-some-common-questions-or-questions-you-were-asked-at-HBS-interviews,What are some common questions or questions you were asked at HBS interviews?,17,153
w9CZd7vK226,https://www.quora.com/What-should-you-answer-when-asked-Why-do-you-want-to-quit-your-current-job,"What should you answer when asked ""Why do you want to quit your current job?""",27,118
wLosaUfQ255,https://www.quora.com/How-was-your-IIM-C-IIT-Kharagpur-ISI-Kolkata-PGDBA-interview-experience,How was your IIM C/IIT Kharagpur/ISI Kolkata PGDBA interview experience?,8,103
wlfwRsx660,https://www.quora.com/How-can-one-uncover-a-managers-traits-in-an-interview,How can one uncover a manager's traits in an interview?,14,82
wJ9X4GBE272,https://www.quora.com/How-HR-recruiter-shortlist-the-resume-how-do-they-reject-it,How HR recruiter shortlist the resume & how do they reject it?,11,67
wQlRRKaU253,https://www.quora.com/What-are-the-smartest-questions-ever-asked-by-job-applicants-to-potential-employers-during-job-interviews,What are the smartest questions ever asked by job applicants to potential employers during job interviews?,5,62
wftH4pHZ237,https://www.quora.com/How-do-I-prepare-for-the-Amazon-online-assessment-and-interview-What-are-the-topics-I-should-cover-for-the-online-assessment,How do I prepare for the Amazon online assessment and interview? What are the topics I should cover for the online assessment?,7,60
wFn9THPP221,https://www.quora.com/What-are-the-most-frequently-asked-questions-in-MBA-interviews,What are the most frequently asked questions in MBA interviews?,25,59
wFn9THPP223,https://www.quora.com/What-are-the-weirdest-interview-questions-youve-faced-and-what-have-you-answered,What are the weirdest interview questions you've faced and what have you answered?,5,51
wmKxVvFs235,https://www.quora.com/What-are-some-leadership-execution-related-questions-asked-at-product-manager-interviews-at-Google-FB-etc,"What are some leadership/execution related questions asked at product manager interviews at Google, FB, etc.?",4,49
wmCOl8c1253,https://www.quora.com/What-is-your-favorite-behavioral-interview-question-to-ask,What is your favorite behavioral interview question to ask?,3,46
wFn9THPP241,https://www.quora.com/As-an-interviewee-what-are-some-questions-you-can-ask-to-quickly-determine-whether-your-new-boss-will-be-an-asshole,"As an interviewee, what are some questions you can ask to quickly determine whether your new boss will be an asshole?",9,46
wlfwRsx666,https://www.quora.com/What-are-some-common-behavioral-interview-questions,What are some common behavioral interview questions?,18,41
w9CZd7vK249,https://www.quora.com/What-are-the-different-ways-to-test-for-sense-of-urgency-in-a-candidate-in-an-interview,"What are the different ways to test for ""sense of urgency"" in a candidate in an interview ?",9,39
wjc7a3tV193,https://www.quora.com/How-do-I-explain-a-two-year-gap-in-academics-during-interview,How do I explain a two year gap in academics during interview?,12,38
wI4X2xUZ80,https://www.quora.com/How-do-I-explain-a-two-year-gap-in-academics-during-interview,How do I explain a two year gap in academics during interview?,12,38
wlfwRsx656,https://www.quora.com/How-should-one-prepare-for-an-HBS-interview-and-what-should-they-expect,How should one prepare for an HBS interview and what should they expect?,8,33
wQlRRKaU255,https://www.quora.com/What-five-questions-will-make-an-interesting-interview-regardless-of-who-you-ask,"What five questions will make an interesting interview, regardless of who you ask?",5,29
w73yws1d242,https://www.quora.com/For-interviews-next-year-should-I-learn-how-data-structures-are-implemented-in-Python-or-stick-with-Java,For interviews next year should I learn how data structures are implemented in Python or stick with Java?,4,29
wFn9THPP257,https://www.quora.com/What-kind-of-topic-should-I-choose-if-I-have-been-told-to-prepare-a-presentation-on-any-topic-of-my-choice-for-a-job-interview-knowing-that-the-essence-of-the-presentation-is-to-test-my-presentation-skills,"What kind of topic should I choose if I have been told to prepare a presentation on any topic of my choice for a job interview, knowing that the essence of the presentation is to test my presentation skills?",13,29
wmKxVvFs227,https://www.quora.com/What-is-the-easiest-way-to-screw-up-any-behavioral-or-technical-interview,What is the easiest way to screw up any behavioral or technical interview?,6,28
wJ9X4GBE266,https://www.quora.com/If-an-interviewer-asks-you-to-tell-me-something-about-you-what-would-be-the-right-answer,"If an interviewer asks you to tell me something about you, what would be the right answer?",11,28
wbFWmlk2247,https://www.quora.com/How-do-I-prepare-for-the-Infosys-specialist-programmer-job-interview-where-the-CTC-is-16-lakh,"How do I prepare for the Infosys ""specialist programmer"" job interview where the CTC is 16 lakh?",3,27
wjc7a3tV203,https://www.quora.com/What-are-the-tricky-questions-in-HRs-round-of-interviews,What are the tricky questions in HR's round of interviews?,11,27
wJ9X4GBE278,https://www.quora.com/What-are-the-most-common-interview-questions-for-HR,What are the most common interview questions for HR?,24,26
wmKxVvFs258,https://www.quora.com/How-do-I-crack-the-PIR-and-HR-round-in-Amazon-com-product,How do I crack the PIR and HR round in Amazon.com (product)?,3,26
w9CZd7vK251,https://www.quora.com/Which-Mixergy-com-interview-has-the-most-useful-takeaways,Which Mixergy.com interview has the most useful takeaways?,4,25
