"wjNDMkMA25","In an interview I was asked ""you are from engineering background, why do you want to join marketing or sales?"" How could I answer this question?","like marketing or sales,we have the desired knowledge and willingness for
MARKETING.
role to IT Sales and Marketing, after a BE in IT.
In case you are looking at sales and marketing in the same field as your
technology and hence moving to Marketing and Sales.
In case you are well versed with technology sales and marketing, you
engineering to sales and marketing.
So in sales and marketing we as an engineer can not only solve problems whose
of sales and marketing area is covered there as it requires predictions and
While I may have done engineering, deep down I have always felt like interacting with people, making proposals and convincing them .
They have an analytical mind which can translating to any marketing or a sales pitch.
Why should someone hire you in a marketing/sales role when they have
marketing/sales.
For that, you must be really interested in marketing and sales and must have a
If you are appearing for marketing and sales interviews, you should be aware
Long story short, you must demonstrate skills in marketing and sales apart
from leadership and analytical skills to crack marketing and sales interviews
To build these skills, you can follow marketing and sales"
"wzoiIf4h33","What are the best answers for the question ''what is your goal in life'' during interviews?","[Top 10 Job Interview Questions and Answers - Your Quick Guide |
G.E.D](http://gedground.com/top-10-job-interview-questions-and-answers/)
A possible answer to the question: “I would like to work very hard and become
the CEO of this company in the next 20–25 years.
good results every year, I will be able to get there in 20–25 years.”
You may like to define your path if the interviewers want to know how you plan
lifetime, then you may like to say this: “I would like to work very hard and
expect to be in the top management of this company in the next 20–25 years.”
and one such questions are, ‘What are your career goals and what are the plans
Here we share some job interview tip **s** to answer the very tricky but
relevant question as to what are your career goals and how you plan to achieve
Read more at: [**Career Advice: Best Answers When Interviewer Asked About Your
‘Career Goals’**](http://careerfunda.info/career-advice-best-answers-
interviewer-asked-career-goals/)
of cases, how you phrase your answers to interview questions is more important
However, when I answered the questions about my goals, it was never simply,
“My goal is to run my own business.” It was more like, “Before I retire, I"
"wDniqSCs25","What is the best answer to “Why do you want to join this company”?","Most people tend to focus on the company in question and talk about how they
As a result I believe your company is one that is really going places and
want to deliver top quality work and thus be part of a company I can be proud
It's a great privilege for me to work in a reputed company like yours and you
that you think the company is an awesome one to work for.
Something like, “This company is
this work and it seems like your company does, too.” Put your admiration for
1. First and foremost, is the organisation or company contributing to making this world a better, sustainable and a united place.
2. The second most important thing is the working culture of the company itself.
Does the company make effort to help their employees have a healthy work/family balance, specially for women?
3. The third most important thing is, can I make a meaningful contribution to the work the company is doing?
*  **The hiring manager is looking for someone who will fit in at the company and enjoy working there.**"
"wXsijVak24","What are some good blogs for quant and interview preparations for campus placements in IITs?","x.com) India Bix
[CampusGate](http://campusgate.co.in) (If you are targeting to crack TCS
Aptitude)
Book: R.S. Aggarwal
Any Company in first round focuses on checking the Logical, Analytical, Verbal
Ability of a Student.
You can practice India Bix, as many companies has a
record of directly asking the same questions present in India Bix And you will
yourself find the same when you give exams.
So My suggestion would be first of all learn the concepts from R.S. Aggarwal
Solve the solved problems in the book and practice a set of questions of same
topic from India Bix so you will get a good grip.
And Also you should be well preparing for Time Management.
Because Generally
Companies in their first round checks your Time Management so they give you a
set of questions to solve in very less time.
I can give a direct answer without any marketing gimmicks.
Visit ([Buy Online
Test Series For Mock & Aptitude
Solutions)](http://www.placementseason.com/placement-test-patterns/) Mock
--test question papers for every major company in India is listed over here.
It is perhaps one of the only portals that provides adaptive test papers
similar to Aspiring Minds.
as well as a Technical Writer at PlacementSeason.
[aksar@placementseason.com](mailto:aksar@placementseason.com)"
"wfEHHGOf33","What type of questions are asked in UPSC exams?","1. preliminary exam…in this medium to high difficult questions comes …the root is basics if you have made your basics strong with ncerts and basic books..with strong gist on current affairs..you will defintely crack it..
2. mains exam..for gs 1 history..general questions comes like **why gupta age was called golden age …..** for geography natural phenomena like current topics on climate..etc comes..for society..bills or schemes of present government majorly comes…for gs 2 polity questions comes..related to fundamental rights..basic structure..and current affairs related questions …for gs 3 questions comes from economic survey and general current affairs related questions..for gs 4 questions on ethics are basically to test the decision ability of the aspirant..during crisis times etc..
3. for interview… questions are asked from economic survey and current affairs..and also about your family background ..your hometown ..geography and history and detail questions on your DAF and graduation stream…
syllabus, pattern and subjects for UPSC civil service exam.
Most of the questions would be from current affairs.
Go to UPSC website > Examination section > Previous year question Papers
You can find papers of all the examinations conducted by UPSC and of all the
UPSC questions are based on the general understanding.
for detailed understanding please go through UPSC previous questions."
"wRioNh6M24","What is the answer of ""If I reject you in this interview then what will you do""?","When the interviewer asks this question, you are already in his **top list**.
**Interviewer- What is the answer of ""If I reject you in this interview then
Think about your interviewer.
**Interviewer-** Okay.
**Interviewer-** But what?
**Interviewer-** I will call you and hire you.
Interviewer- So tell me what will you do if I dont select you?
**Interviewer** : what will you do if you are not selected today?
**Me:** I will be disappointed because it is my first interview, but the
This question is asked when the interviewer has made up his mind to select the
candidate and needs one final confident answer to approve his selection.
While answering this question keep in mind that interviewer is testing your
and answering your questions as well.
Since the interview panel is
If you have answered well before and think your Interview went well,
interviews I will give after this._
After asking some general questions, the interviewing officer (IO) asked me
First, when the interviews started we asked really innovative questions(Thanks
After few interviews those questions became cliche, suddenly students started
questions asked in interviews and are training them.
The interviewer asked some questions and I answered them."
"wlSDhp1l32","How do I crack a placement interview?","are interviewing for.
question asked during the interview is _“tell us about yourself”._ ** __**
The interviewer
has your resume and this is the time to excite the interviewer with
is asked during an interview is “ ** _Why should we select you_** ”.
an interview
interviewer.
the company and makes a good impression on the interviewers.
questions on the details mentioned in the resume, so be prepared to answer
**Ask a question at last:** Never say NO to the interviewer when he asks you
All the best for your interview..
When it comes to cracking a placement interview , the most important thing is
For CSE Students , the Interviewers generally ask questions from topics like
The website which I found useful while preparing for Interviews was
asked question help you to crack any interview.
When preparing for the interview, divide your preparation time into 4
The Interviewer asks the questions from your subject that what you have
interview you need to practice the interview questions through follow some
blogs which are relate to your subject and prepare some interview questions.
your preparation level for a particular interview and where you need to
In an interview, The"
"wdZz5qZV25","How do I draft a mail to HR asking for the interview status?","**I just wanted to follow up on your current timeline to update the interview
**Thank you for taking out the time and interviewing me.
for an interview for the **XYZ profile**.
interview.
applied> at <company name> and had been interviewed for the same.
Sub : Follow Up email after interview for the position of XXXX
I am writing this email in regard to the interview conducted by you on the
present in the interview and had undergone three rounds.
interview result is expected.
My interview rounds had gone quite well and I am
I am writing to inquire about the status of my interview for the position of
Thank you for taking out the time and interviewing me.
[How to Write Email about the Status of Interview (with
sample)](http://coverlettersandresume.com/interview/how-to-write-email-about-
the-status-of-interview-with-sample/)
[Sample Job Interview Follow Up Email](http://www.best-job-
interview.com/interview-follow-up-email.html)
[How to Follow Up on a Job Interview (Without Being
Annoying)](http://lifehacker.com/5905427/how-to-follow-up-on-a-job-interview-
<Subject>: Attention HR Manager: Follow Up for Interview Status
I am writing this email to know about the status of my <interview> conducted
interview at <<company name>>.
Eg: I must admit that I had a great interview, and indeed, few of the
this interview.
selected or not after a few days of interview?](/How-do-I-ask-the-HR-person-"
"w8rw729J25","How do I ask the HR person by mail whether I am selected or not after a few days of interview?","If you know that window, and you think that your interview had gone really
well, you may like to write a soft, gentle mail to the recruiter (without
desire for knowing about the outcome of the interview.
Mail the HR again telling them that you had a great interview with them and
you really liked the way the company functions and that you would love be a
The HR will get back to you after you send them this mail if you're in or out
If you had received Interview call letter through mail for attending the
interview.
After few days of interview reply on the same mail asking ""Hey,
Hope everything is fine, I know its little early to ask but I was wondering if
_I know its little early to ask but I was wondering if any feedback you got
sending something like this after my interviews.
This mail is
enjoyed your interviews thus far and would like to know if they had any
HR and hiring teams like to know people are interested
_Please recall that I had the fortune of interviewed by your company on ….
interview, I would love to work for your company._"
"wdz68fQu25","What are some MBA finance fresher interview questions and answers?","fresher interview questions with answers.
If you need more job interview
by your interviewer.
in past jobs, so don't be shy when answering this interview question!
MBA fresher interview questions:** **What do you know about the
put your own questions to the interviewer.
interview question:**  
your job interview is to study the current events of the company.
Doing so will also show the interviewer that you have done your
In any job interview, anything on your
Hired**](http://ebooks.4career.net/best-job-interview-answers/)
If you want to ace your job interview, you are going to know how to build
communication and must if you want to ace your job interview.
Interviewers
here.**](http://ebooks.4career.net/best-job-interview-answers/)
**How To Prepare For A Job Interview**
to prepare for a job interview.
interview.
Hired**](http://ebooks.4career.net/best-job-interview-answers/)
your interview.
interview.
interviewer may ask you to explain what you did at that job and your are
any questions you may have about either so you can ask during the interview.
the interview.
The interview
interview.
here.**](http://ebooks.4career.net/best-job-interview-answers/)
interview.
interviewer.
positions will help do this, and is one of the best job interview strategies
Making positive eye contact is one of the best job interview strategies to
interview.
The interviewer will
the interviewer.
interviewer."
